Total Rules: 127912

P0=53290 	P1=0     	P2=74554 	P3=68    	P4=0     	
P5=0     	P6=0     	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 26795

srcMask=0: 1441
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8: 109931	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22:    0	23:    0	24:  902	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32: 15638	

dstMask=0: 2232
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8: 74493	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22:    0	23:    0	24:   29	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32: 51158	

No.	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort	sPWidth	dPWidth
161	 367	   0	   5	  66	 270	   0	   1	 199	 184	 194	   0	   0
162	 423	   0	   3	  51	 258	   0	   0	 170	 190	 178	   0	   0
163	 406	   0	   4	  54	 284	   0	   0	 203	 230	 226	   0	   0
164	 422	   0	   3	  70	 291	   0	   0	 203	 199	 212	   0	   0
165	 447	   0	   3	  60	 261	   0	   0	 218	 197	 198	   0	   0
166	 412	   0	   2	  60	 283	   0	   1	 184	 185	 186	   0	   0
167	 430	   0	   4	  63	 289	   0	   0	 203	 215	 207	   0	   0
168	 417	   0	   5	  50	 278	   0	   0	 195	 205	 166	   0	   0
169	 390	   0	   3	  66	 295	   0	   0	 195	 202	 203	   0	   0
170	 400	   0	   3	  48	 287	   0	   0	 212	 226	 206	   0	   0
171	 408	   0	   3	  71	 295	   0	   1	 187	 181	 199	   0	   0
172	 412	   0	   4	  55	 270	   0	   0	 219	 194	 184	   0	   0
173	 384	   0	   3	  52	 313	   0	   0	 189	 213	 205	   0	   0
174	 409	   0	   3	  58	 287	   0	   0	 210	 185	 206	   0	   0
175	 390	   0	   4	  59	 303	   0	   0	 183	 219	 208	   0	   0
176	 404	   0	   3	  57	 290	   0	   0	 253	 224	 203	   0	   0
177	 412	   0	   4	  55	 274	   0	   0	 207	 237	 209	   0	   0
178	 439	   0	   3	  55	 288	   0	   0	 183	 204	 202	   0	   0
179	 432	   0	   4	  58	 284	   0	   0	 214	 197	 178	   0	   0
180	 449	   0	   3	  66	 260	   0	   0	 200	 203	 194	   0	   0
181	 463	   0	   3	  52	 254	   0	   0	 191	 223	 202	   0	   0
182	 420	   0	   3	  63	 280	   0	   0	 196	 215	 174	   0	   0
183	 418	   0	   3	  57	 281	   0	   0	 186	 212	 189	   0	   0
184	 409	   0	   5	  59	 302	   0	   0	 212	 202	 212	   0	   0
185	 380	   0	   3	  59	 295	   0	   0	 195	 211	 202	   0	   0
186	 395	   0	   4	  55	 304	   0	   0	 208	 198	 178	   0	   0
187	 409	   0	   3	  49	 270	   0	   0	 192	 212	 178	   0	   0
188	 420	   0	   3	  57	 295	   0	   0	 228	 197	 203	   0	   0
189	 418	   0	   4	  59	 285	   0	   0	 183	 190	 214	   0	   0
190	2626	   0	   4	  72	1806	   0	   1	 201	 223	 186	   0	   0
191	 424	   0	   3	  53	 256	   0	   1	 189	 205	 194	   0	   0
